admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0101;1;2017-07-25;2017-10-07;75;759.7904663085938
ML0103;1;2017-07-26;2017-10-07;74;740.8002319335938
ML0103;3;2019-07-28;2019-11-04;100;1607.3826904296875
ML0103;6;2022-08-12;2022-11-03;84;1002.3277587890625
ML0105;3;2019-07-27;2019-10-30;96;1120.431884765625
ML0107;1;2017-08-23;2017-09-01;10;328.3265075683594
ML0202;1;2017-08-13;2017-08-15;3;549.7562255859375
ML0202;2;2017-08-20;2017-10-16;58;964.5816040039062
ML0202;7;2022-08-23;2022-11-01;71;1602.0916748046875
ML0203;3;2019-07-31;2019-11-21;114;4656.04296875
ML0204;6;2022-08-08;2022-11-24;109;4451.41650390625
ML0205;7;2019-08-25;2019-09-13;20;425.0248107910156
ML0206;0;2016-08-17;2016-10-23;68;3220.911865234375
ML0206;3;2019-08-12;2019-11-10;91;4606.4501953125
ML0207;3;2017-08-12;2017-08-14;3;64.03829956054688
ML0207;4;2017-08-23;2017-08-29;7;142.9784698486328
ML0207;5;2018-08-09;2018-09-19;42;279.1396179199219
ML0207;13;2022-08-20;2022-08-22;3;104.4781494140625
ML0207;14;2022-09-02;2022-09-04;3;143.54977416992188
ML0301;1;2017-08-25;2017-09-13;20;413.0791015625
ML0301;2;2017-09-26;2017-10-04;9;317.618408203125
ML0301;7;2022-08-22;2022-10-22;62;803.840576171875
ML0302;5;2019-08-24;2019-11-03;72;322.12548828125
ML0302;8;2022-08-27;2022-10-19;54;259.5400695800781
ML0304;3;2019-08-29;2019-09-26;29;307.1868591308594
ML0305;0;2016-08-14;2016-10-19;67;773.4674072265625
ML0305;1;2017-08-13;2017-10-12;61;540.374755859375
ML0305;2;2018-08-01;2018-10-24;85;1107.9990234375
ML0305;3;2019-08-23;2019-11-04;74;940.4368896484375
ML0307;5;2019-08-26;2019-09-04;10;40.05155563354492
ML0401;6;2022-08-18;2022-11-14;89;4129.505859375
ML0402;0;2016-08-21;2016-10-15;56;1265.17333984375
ML0402;1;2017-08-30;2017-09-19;21;992.0660400390625
ML0402;2;2017-09-28;2017-10-05;8;863.0560302734375
ML0402;7;2022-09-03;2022-10-25;53;1693.3599853515625
ML0404;3;2017-08-12;2017-08-14;3;67.49745178222656
ML0404;4;2017-08-23;2017-09-01;10;147.5603485107422
ML0405;2;2017-08-05;2017-10-26;83;784.2901000976562
ML0405;7;2022-08-21;2022-11-15;87;1544.0941162109375
ML0406;0;2016-07-28;2016-11-12;108;2550.008056640625
ML0406;1;2017-07-24;2017-10-30;99;2552.225830078125
ML0406;6;2022-08-09;2022-11-25;109;3987.857666015625
ML0407;1;2017-08-24;2017-08-29;6;35.74203109741211
ML0503;6;2022-08-15;2022-11-18;96;2817.923583984375
ML0504;0;2016-07-19;2016-09-13;57;194.70889282226562
ML0504;1;2017-06-22;2017-06-30;9;93.17193603515625
ML0504;2;2017-07-16;2017-09-14;61;242.7252197265625
ML0504;3;2017-09-24;2017-09-28;5;48.090492248535156
ML0504;9;2022-07-26;2022-10-05;72;215.5251007080078
ML0505;2;2017-07-27;2017-07-29;3;62.852664947509766
ML0505;3;2017-08-10;2017-09-08;30;165.34214782714844
ML0505;9;2022-08-08;2022-08-09;2;65.6080551147461
ML0505;10;2022-08-14;2022-09-27;45;142.62327575683594
ML0506;0;2016-09-05;2016-11-05;62;2059.5537109375
ML0506;1;2017-09-01;2017-10-29;59;2063.1025390625
ML0506;6;2022-09-02;2022-11-26;86;2801.966796875
ML0601;3;2018-08-29;2019-01-25;150;2096.137939453125
ML0601;4;2019-09-02;2020-01-28;149;2136.184814453125
ML0602;7;2022-07-05;2023-04-21;291;2179.364501953125
ML0603;7;2022-08-18;2023-03-04;199;2008.2532958984375
ML0604;2;2017-08-11;2018-01-12;155;1754.3841552734375
ML0604;4;2019-08-18;2020-02-04;171;2302.57080078125
ML0604;7;2022-08-26;2023-01-30;158;2204.2890625
ML0605;0;2016-01-08;2016-04-01;85;1535.392822265625
ML0605;1;2016-07-16;2017-03-16;244;1730.1453857421875
ML0605;4;2019-07-20;2020-03-27;252;2040.532470703125
ML0605;7;2022-07-26;2023-03-25;243;2002.09521484375
ML0701;4;2019-08-06;2020-03-20;228;1629.072998046875
ML0702;4;2019-08-21;2020-03-03;196;2009.758056640625
ML0702;7;2022-08-29;2023-02-27;183;1945.3040771484375
ML0703;0;2016-01-08;2016-03-22;75;1549.2742919921875
ML0703;1;2016-08-03;2017-03-08;218;1426.335205078125
ML0703;2;2017-07-28;2018-02-21;209;1388.274169921875
ML0703;3;2018-07-31;2019-03-18;231;1717.6700439453125
ML0703;4;2019-08-07;2020-03-20;227;1765.1094970703125
ML0802;0;2019-08-24;2019-09-02;10;7.442441940307617
ML0803;0;2019-08-25;2019-08-26;2;3.328359842300415
ML0901;0;2018-09-02;2018-10-13;42;4707.1630859375
ML0901;1;2019-09-03;2019-10-19;47;4543.52001953125
ML0901;4;2022-09-05;2022-10-15;41;4346.23095703125
ML1001;0;2016-08-10;2016-08-11;2;4.909949779510498
ML1001;3;2018-08-10;2018-08-25;16;37.370819091796875
