identifier;events;flood_start;flood_end;duration;peak_streamflow
Ansongo;0;2016-01-08;2016-01-11;4;1404.33349609375
Ansongo;1;2016-12-08;2016-12-12;5;1391.1624755859375
Ansongo;2;2018-11-25;2019-01-15;52;1536.4462890625
Bamako;0;2018-09-02;2018-10-10;39;4635.30126953125
Banankoro;0;2018-09-02;2018-10-11;40;3432.48046875
Bougouni;0;2016-09-05;2016-09-21;17;411.636962890625
Bougouni;1;2018-08-22;2018-10-11;51;673.6932373046875
Douna;0;2016-09-01;2016-10-06;36;1198.7601318359375
Douna;1;2018-08-26;2018-10-21;57;1964.0784912109375
Kayes;0;2016-09-16;2016-09-19;4;359.332275390625
Kayes;1;2018-08-28;2018-10-13;47;633.4027099609375
Koulikoro;0;2018-09-02;2018-10-10;39;4680.50244140625
Mopti;0;2018-09-06;2018-10-23;48;2340.953857421875
Pankourou;0;2016-09-01;2016-09-28;28;586.1380004882812
Pankourou;1;2018-08-22;2018-10-14;54;1029.5843505859375
Sofara;0;2016-09-01;2016-10-06;36;988.6710205078125
Sofara;1;2018-08-27;2018-10-27;62;1317.477783203125
