identifier;events;flood_start;flood_end;duration;peak_streamflow
Ansongo;0;2016-01-08;2016-01-24;17;1404.3428955078125
Ansongo;1;2016-11-23;2016-12-26;34;1408.52197265625
Ansongo;2;2018-11-13;2019-01-23;72;1536.4576416015625
Ansongo;3;2019-11-11;2020-01-26;77;1560.128662109375
Ansongo;4;2020-11-09;2021-01-15;68;1527.99560546875
Ansongo;5;2021-11-23;2022-01-01;40;1440.8089599609375
Ansongo;6;2022-11-10;2023-01-17;69;1514.6678466796875
Bafing Makana;0;2018-08-29;2018-09-19;22;1218.2059326171875
Bafing Makana;1;2019-08-29;2019-09-28;31;1065.148193359375
Bafing Makana;2;2020-08-30;2020-10-10;42;1477.215087890625
Bafing Makana;3;2021-08-30;2021-09-11;13;847.9019165039062
Bafing Makana;4;2022-08-31;2022-09-26;27;897.8839721679688
Bamako;0;2018-08-31;2018-10-14;45;4695.31689453125
Bamako;1;2019-09-03;2019-10-19;47;4540.1865234375
Bamako;2;2020-09-05;2020-10-18;44;4764.615234375
Bamako;3;2021-09-01;2021-10-04;34;4369.33642578125
Bamako;4;2022-09-04;2022-10-16;43;4344.921875
Banankoro;0;2018-08-31;2018-10-14;45;3445.54833984375
Banankoro;1;2019-09-02;2019-10-16;45;3381.1123046875
Banankoro;2;2020-09-07;2020-10-13;37;3533.863525390625
Banankoro;3;2021-09-02;2021-10-02;31;3129.349609375
Banankoro;4;2022-09-04;2022-10-15;42;3275.9638671875
Bougouni;0;2016-08-29;2016-10-01;34;420.4627380371094
Bougouni;1;2018-08-20;2018-10-14;56;688.7965087890625
Bougouni;2;2019-08-27;2019-10-19;54;537.5955810546875
Bougouni;3;2020-08-31;2020-10-19;50;616.8024291992188
Bougouni;4;2021-08-20;2021-10-03;45;491.6705322265625
Bougouni;5;2022-08-31;2022-10-13;44;472.0525817871094
Dire;0;2016-10-09;2016-10-31;23;1744.46044921875
Dire;1;2016-11-13;2016-11-17;5;1686.03369140625
Dire;2;2017-10-03;2017-11-01;30;1724.7080078125
Dire;3;2018-09-13;2018-12-28;107;2075.836181640625
Dire;4;2019-09-18;2020-01-02;107;2088.848876953125
Dire;5;2020-09-15;2021-01-02;110;2275.747314453125
Dire;6;2021-09-25;2021-12-08;75;1840.0430908203125
Dire;7;2022-09-26;2022-12-27;93;2044.1766357421875
Douna;0;2016-08-24;2016-10-09;47;1200.402099609375
Douna;1;2018-08-25;2018-10-24;61;1968.344970703125
Douna;2;2019-08-30;2019-10-29;61;1501.8045654296875
Douna;3;2020-08-26;2020-10-30;66;1705.10009765625
Douna;4;2021-08-17;2021-10-12;57;1618.7537841796875
Douna;5;2022-09-05;2022-10-23;49;1644.0474853515625
Gao;0;2016-01-08;2016-01-21;14;1527.4215087890625
Gao;1;2018-10-21;2019-01-13;85;1678.6614990234375
Gao;2;2019-10-04;2019-10-08;5;1471.6279296875
Gao;3;2019-10-21;2020-01-18;90;1733.46533203125
Gao;4;2020-09-30;2021-01-13;106;1826.031982421875
Gao;5;2021-12-26;2022-01-13;19;1463.1578369140625
Gao;6;2022-10-25;2023-01-17;85;1665.6270751953125
Kayes;0;2018-08-25;2018-10-09;46;1510.63818359375
Kayes;1;2019-08-26;2019-10-14;50;1439.0284423828125
Kayes;2;2020-08-25;2020-10-22;59;1714.57373046875
Kayes;3;2021-08-22;2021-10-02;42;925.9896850585938
Kayes;4;2022-09-09;2022-10-12;34;987.7841796875
Koulikoro;0;2018-09-02;2018-10-13;42;4630.33349609375
Koulikoro;1;2019-09-03;2019-10-17;45;4525.568359375
Koulikoro;2;2020-09-08;2020-10-19;42;4772.896484375
Koulikoro;3;2021-09-01;2021-10-05;35;4357.5908203125
Koulikoro;4;2022-09-05;2022-10-16;42;4351.75927734375
Mopti;0;2016-09-21;2016-10-04;14;2502.8388671875
Mopti;1;2018-09-02;2018-10-27;56;3541.5478515625
Mopti;2;2019-09-03;2019-11-01;60;3544.6884765625
Mopti;3;2020-09-01;2020-11-04;65;4273.5546875
Mopti;4;2021-09-02;2021-10-20;49;3223.4736328125
Mopti;5;2022-09-15;2022-10-28;44;3106.998046875
Pankourou;0;2016-08-29;2016-10-04;37;601.8115234375
Pankourou;1;2018-08-19;2018-10-16;59;1049.145751953125
Pankourou;2;2019-08-30;2019-10-20;52;847.8269653320312
Pankourou;3;2020-08-30;2020-10-19;51;776.0664672851562
Pankourou;4;2021-08-15;2021-10-06;53;834.789794921875
Pankourou;5;2022-08-27;2022-10-13;48;800.094482421875
Sofara;0;2016-08-28;2016-10-12;46;991.2313842773438
Sofara;1;2018-08-25;2018-11-01;69;1328.898193359375
Sofara;2;2019-08-31;2019-11-04;66;1343.54296875
Sofara;3;2020-08-26;2020-11-05;72;1605.8975830078125
Sofara;4;2021-08-19;2021-10-19;62;1129.7763671875
Sofara;5;2022-09-11;2022-10-25;45;1118.6644287109375
