identifier;events;flood_start;flood_end;duration;peak_streamflow
Ansongo;0;2016-01-08;2016-01-11;4;1404.3428955078125
Ansongo;1;2016-12-08;2016-12-12;5;1391.17724609375
Ansongo;2;2018-11-25;2019-01-15;52;1536.4576416015625
Ansongo;3;2019-11-23;2020-01-24;63;1560.128662109375
Ansongo;4;2020-11-17;2021-01-09;54;1527.99560546875
Ansongo;5;2021-12-02;2021-12-23;22;1440.8089599609375
Ansongo;6;2022-11-18;2023-01-13;57;1514.6678466796875
Bafing Makana;0;2018-08-30;2018-09-18;20;1218.2059326171875
Bafing Makana;1;2019-08-31;2019-09-26;27;1002.77099609375
Bafing Makana;2;2020-08-31;2020-09-25;26;1477.215087890625
Bafing Makana;3;2022-09-02;2022-09-08;7;854.2608032226562
Bafing Makana;4;2022-09-23;2022-09-24;2;654.6984252929688
Bamako;0;2018-09-02;2018-10-10;39;4695.31689453125
Bamako;1;2019-09-05;2019-10-16;42;4540.1865234375
Bamako;2;2020-09-09;2020-10-15;37;4764.615234375
Bamako;3;2021-09-05;2021-10-02;28;4369.33642578125
Bamako;4;2022-09-13;2022-10-13;31;4344.921875
Banankoro;0;2018-09-02;2018-10-11;40;3445.54833984375
Banankoro;1;2019-09-06;2019-10-14;39;3381.1123046875
Banankoro;2;2020-09-11;2020-10-05;25;3494.085205078125
Banankoro;3;2021-09-05;2021-09-28;24;3129.349609375
Banankoro;4;2022-09-08;2022-10-09;32;3275.9638671875
Bougouni;0;2016-09-02;2016-09-30;29;420.4627380371094
Bougouni;1;2018-08-22;2018-10-13;53;688.7965087890625
Bougouni;2;2019-08-31;2019-10-15;46;532.1636962890625
Bougouni;3;2020-09-05;2020-10-18;44;616.8024291992188
Bougouni;4;2021-08-31;2021-09-30;31;475.62689208984375
Bougouni;5;2022-09-03;2022-10-11;39;463.1823425292969
Dire;0;2018-09-16;2018-12-18;94;2075.836181640625
Dire;1;2019-09-21;2019-12-25;96;2088.848876953125
Dire;2;2020-09-17;2020-12-22;97;2275.747314453125
Dire;3;2021-10-06;2021-11-02;28;1840.0430908203125
Dire;4;2021-11-17;2021-11-23;7;1789.8302001953125
Dire;5;2022-09-30;2022-12-21;83;2044.1766357421875
Douna;0;2016-09-01;2016-10-06;36;1200.402099609375
Douna;1;2018-08-26;2018-10-21;57;1968.344970703125
Douna;2;2019-08-31;2019-10-26;57;1501.8045654296875
Douna;3;2020-08-31;2020-10-26;57;1705.10009765625
Douna;4;2021-08-19;2021-10-08;51;1618.7537841796875
Douna;5;2022-09-09;2022-10-17;39;1644.0474853515625
Gao;0;2016-01-08;2016-01-18;11;1527.4215087890625
Gao;1;2018-11-11;2019-01-08;59;1678.6614990234375
Gao;2;2019-10-27;2020-01-15;81;1733.46533203125
Gao;3;2020-10-03;2021-01-11;101;1826.031982421875
Gao;4;2022-11-07;2023-01-12;67;1665.6270751953125
Kayes;0;2018-08-26;2018-10-05;41;1510.63818359375
Kayes;1;2019-08-29;2019-10-02;35;1294.0726318359375
Kayes;2;2020-08-29;2020-10-19;52;1714.57373046875
Kayes;3;2021-08-25;2021-09-25;32;925.9896850585938
Kayes;4;2022-09-22;2022-10-08;17;977.4019165039062
Koulikoro;0;2018-09-04;2018-10-10;37;4630.33349609375
Koulikoro;1;2019-09-06;2019-10-14;39;4525.568359375
Koulikoro;2;2020-09-10;2020-10-17;38;4772.896484375
Koulikoro;3;2021-09-05;2021-10-03;29;4357.5908203125
Koulikoro;4;2022-09-13;2022-10-13;31;4351.75927734375
Mopti;0;2018-09-05;2018-10-25;51;3541.5478515625
Mopti;1;2019-09-05;2019-10-29;55;3544.6884765625
Mopti;2;2020-09-03;2020-11-02;61;4273.5546875
Mopti;3;2021-09-06;2021-10-13;38;3223.4736328125
Mopti;4;2022-09-17;2022-10-24;38;3106.998046875
Pankourou;0;2016-08-31;2016-09-28;29;601.8115234375
Pankourou;1;2018-08-22;2018-10-13;53;1049.145751953125
Pankourou;2;2019-08-31;2019-10-16;47;847.8269653320312
Pankourou;3;2020-08-31;2020-09-26;27;776.0664672851562
Pankourou;4;2020-10-07;2020-10-17;11;569.814453125
Pankourou;5;2021-08-15;2021-10-02;49;834.789794921875
Pankourou;6;2022-08-31;2022-10-09;40;800.094482421875
Sofara;0;2016-09-01;2016-10-06;36;991.2313842773438
Sofara;1;2018-08-27;2018-10-27;62;1328.898193359375
Sofara;2;2019-09-01;2019-10-29;59;1343.54296875
Sofara;3;2020-08-27;2020-11-03;69;1605.8975830078125
Sofara;4;2021-08-21;2021-10-13;54;1129.7763671875
Sofara;5;2022-09-17;2022-10-22;36;1118.6644287109375
