,identifier,TP,FP,FN,POD,FAR,precision,f1
0,Ansongo,0,4,0,,1.0,0.0,
1,Bafing Makana,0,5,5,0.0,1.0,0.0,
2,Bamako,1,4,1,0.5,0.8,0.2,0.286
3,Banankoro,1,4,2,0.333,0.8,0.2,0.25
4,Bougouni,2,6,3,0.4,0.75,0.25,0.308
5,Dire,0,3,0,,1.0,0.0,
6,Douna,1,4,2,0.333,0.8,0.2,0.25
7,Gao,0,4,0,,1.0,0.0,
8,Kayes,1,3,3,0.25,0.75,0.25,0.25
9,Koulikoro,1,4,1,0.5,0.8,0.2,0.286
10,Mopti,1,4,1,0.5,0.8,0.2,0.286
11,Pankourou,1,4,3,0.25,0.8,0.2,0.222
12,Sofara,1,4,2,0.333,0.8,0.2,0.25
13,total,10,53,23,0.303,0.841,0.159,0.208
