,identifier,TP,FP,FN,POD,FAR,precision,f1
0,Ansongo,0,4,0,,1.0,0.0,
1,Bafing Makana,0,5,5,0.0,1.0,0.0,
2,Bamako,1,4,1,0.5,0.8,0.2,0.286
3,Banankoro,1,4,2,0.333,0.8,0.2,0.25
4,Bougouni,4,5,1,0.8,0.556,0.444,0.571
5,Dire,0,3,0,,1.0,0.0,
6,Douna,1,4,2,0.333,0.8,0.2,0.25
7,Gao,0,5,0,,1.0,0.0,
8,Kayes,1,2,3,0.25,0.667,0.333,0.286
9,Koulikoro,1,4,1,0.5,0.8,0.2,0.286
10,Mopti,1,4,1,0.5,0.8,0.2,0.286
11,Pankourou,1,4,3,0.25,0.8,0.2,0.222
12,Sofara,1,4,2,0.333,0.8,0.2,0.25
13,total,12,52,21,0.364,0.812,0.188,0.247
