,identifier,TP,FP,FN,POD,FAR,precision,f1
0,Ansongo,2,5,1,0.667,0.714,0.286,0.4
1,Bafing Makana,0,4,1,0.0,1.0,0.0,
2,Bamako,2,4,2,0.5,0.667,0.333,0.4
3,Banankoro,2,4,2,0.5,0.667,0.333,0.4
4,Bougouni,4,4,0,1.0,0.5,0.5,0.667
5,Dire,0,6,0,,1.0,0.0,
6,Douna,2,4,2,0.5,0.667,0.333,0.4
7,Gao,0,5,0,,1.0,0.0,
8,Kayes,2,4,1,0.667,0.667,0.333,0.444
9,Koulikoro,1,4,0,1.0,0.8,0.2,0.333
10,Mopti,2,4,0,1.0,0.667,0.333,0.5
11,Pankourou,2,6,0,1.0,0.75,0.25,0.4
12,Sofara,2,4,1,0.667,0.667,0.333,0.444
13,total,21,58,10,0.677,0.734,0.266,0.382
