identifier,TP,FP,FN,POD,FAR,precision,recall,f1,admin_unit_NAME
ML0101,0,0,1,0.0,0.0,0.0,0.0,0.0,BAFOULABE
ML0103,0,1,3,0.0,1.0,0.0,0.0,0.0,SANDIA
ML0105,0,1,1,0.0,1.0,0.0,0.0,0.0,KITA
ML0107,0,0,2,0.0,0.0,0.0,0.0,0.0,YELIMANE
ML0202,0,1,6,0.0,1.0,0.0,0.0,0.0,DIOILA
ML0203,0,1,1,0.0,1.0,0.0,0.0,0.0,KENEKOUN
ML0204,0,1,2,0.0,1.0,0.0,0.0,0.0,KATI
ML0205,0,1,1,0.0,1.0,0.0,0.0,0.0,KOLOKANI
ML0206,0,1,5,0.0,1.0,0.0,0.0,0.0,TOUBAKORO
ML0207,1,1,5,0.167,0.5,0.5,0.167,0.25,NARA
ML0301,0,1,2,0.0,1.0,0.0,0.0,0.0,BOUGOUNI
ML0302,0,1,2,0.0,1.0,0.0,0.0,0.0,ZEGOUA
ML0304,0,1,1,0.0,1.0,0.0,0.0,0.0,KOUTIALA
ML0305,1,1,8,0.111,0.5,0.5,0.111,0.182,BIRAMABOUGOU
ML0401,1,0,0,1.0,0.0,1.0,1.0,1.0,BARAOUELI
ML0402,1,0,4,0.2,0.0,1.0,0.2,0.333,BLA
ML0404,0,0,1,0.0,0.0,0.0,0.0,0.0,NIONO
ML0405,0,1,3,0.0,1.0,0.0,0.0,0.0,SAN
ML0406,0,1,13,0.0,1.0,0.0,0.0,0.0,SEGOU
ML0503,1,0,1,0.5,0.0,1.0,0.5,0.667,DJENNE
ML0504,0,1,3,0.0,1.0,0.0,0.0,0.0,DOUENTZA
ML0505,0,0,3,0.0,0.0,0.0,0.0,0.0,KORO
ML0506,0,0,6,0.0,0.0,0.0,0.0,0.0,MOPTI
ML0601,0,0,2,0.0,0.0,0.0,0.0,0.0,DIRE
ML0602,0,0,1,0.0,0.0,0.0,0.0,0.0,GOUNDAM
ML0603,0,0,2,0.0,0.0,0.0,0.0,0.0,GOURMA-RHAROUS
ML0604,0,1,3,0.0,1.0,0.0,0.0,0.0,NIAFUNKE
ML0605,0,0,4,0.0,0.0,0.0,0.0,0.0,TOMBOUCTOU
ML0701,0,1,1,0.0,1.0,0.0,0.0,0.0,ANSONGO
ML0702,0,0,3,0.0,0.0,0.0,0.0,0.0,BOUREM
ML0703,0,0,5,0.0,0.0,0.0,0.0,0.0,TAMKOUTAT
ML0901,1,2,9,0.1,0.667,0.333,0.1,0.154,BAMAKO
total,6,19,104,0.055,0.76,0.24,0.055,0.089,
