identifier,TP,FP,FN,POD,FAR,precision,recall,f1,admin_unit_NAME
ML0101,0,0,1,0.0,0.0,0.0,0.0,0.0,BAFOULABE
ML0103,0,2,3,0.0,1.0,0.0,0.0,0.0,SANDIA
ML0105,0,1,1,0.0,1.0,0.0,0.0,0.0,KITA
ML0107,0,0,2,0.0,0.0,0.0,0.0,0.0,YELIMANE
ML0202,1,0,5,0.167,0.0,1.0,0.167,0.286,DIOILA
ML0203,0,1,1,0.0,1.0,0.0,0.0,0.0,KENEKOUN
ML0204,0,1,2,0.0,1.0,0.0,0.0,0.0,KATI
ML0205,0,1,1,0.0,1.0,0.0,0.0,0.0,KOLOKANI
ML0206,0,1,5,0.0,1.0,0.0,0.0,0.0,TOUBAKORO
ML0207,2,1,4,0.333,0.333,0.667,0.333,0.444,NARA
ML0301,0,1,2,0.0,1.0,0.0,0.0,0.0,BOUGOUNI
ML0302,0,2,2,0.0,1.0,0.0,0.0,0.0,ZEGOUA
ML0304,0,1,1,0.0,1.0,0.0,0.0,0.0,KOUTIALA
ML0305,2,2,7,0.222,0.5,0.5,0.222,0.308,BIRAMABOUGOU
ML0401,1,0,0,1.0,0.0,1.0,1.0,1.0,BARAOUELI
ML0402,1,1,4,0.2,0.5,0.5,0.2,0.286,BLA
ML0404,0,1,1,0.0,1.0,0.0,0.0,0.0,NIONO
ML0405,2,0,1,0.667,0.0,1.0,0.667,0.8,SAN
ML0406,1,0,12,0.077,0.0,1.0,0.077,0.143,SEGOU
ML0503,2,0,0,1.0,0.0,1.0,1.0,1.0,DJENNE
ML0504,1,1,2,0.333,0.5,0.5,0.333,0.4,DOUENTZA
ML0505,2,2,1,0.667,0.5,0.5,0.667,0.571,KORO
ML0506,0,1,6,0.0,1.0,0.0,0.0,0.0,MOPTI
ML0601,0,2,2,0.0,1.0,0.0,0.0,0.0,DIRE
ML0602,0,1,1,0.0,1.0,0.0,0.0,0.0,GOUNDAM
ML0603,0,1,2,0.0,1.0,0.0,0.0,0.0,GOURMA-RHAROUS
ML0604,0,2,3,0.0,1.0,0.0,0.0,0.0,NIAFUNKE
ML0605,0,2,4,0.0,1.0,0.0,0.0,0.0,TOMBOUCTOU
ML0701,0,1,1,0.0,1.0,0.0,0.0,0.0,ANSONGO
ML0702,0,2,3,0.0,1.0,0.0,0.0,0.0,BOUREM
ML0703,0,4,5,0.0,1.0,0.0,0.0,0.0,TAMKOUTAT
ML0901,1,2,9,0.1,0.667,0.333,0.1,0.154,BAMAKO
total,16,37,94,0.145,0.698,0.302,0.145,0.196,
