,identifier,TP,FP,FN,POD,FAR,precision,f1
0,Ansongo,2,5,1,0.667,0.714,0.286,0.4
1,Bafing Makana,0,4,1,0.0,1.0,0.0,
2,Bamako,2,4,2,0.5,0.667,0.333,0.4
3,Banankoro,2,4,2,0.5,0.667,0.333,0.4
4,Bougouni,4,4,0,1.0,0.5,0.5,0.667
5,Dire,0,6,0,,1.0,0.0,
6,Douna,2,4,2,0.5,0.667,0.333,0.4
7,Gao,0,5,0,,1.0,0.0,
8,Guelelinkoro,0,6,0,,1.0,0.0,
9,Kayes,2,6,1,0.667,0.75,0.25,0.364
10,Koulikoro,1,4,0,1.0,0.8,0.2,0.333
11,Mopti,1,4,1,0.5,0.8,0.2,0.286
12,Pankourou,2,4,0,1.0,0.667,0.333,0.5
13,Sofara,2,4,1,0.667,0.667,0.333,0.444
14,total,20,64,11,0.645,0.762,0.238,0.348
